configuration_id,task_family,event_key,sample_count,mean,sample_stddev,maximum,epsilon,threshold,calibration_exceedances
full-tools-persistent-memory,local_arithmetic_tool,call_model|model_request|0,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,local_arithmetic_tool,call_model|model_request|1,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,local_arithmetic_tool,call_model|model_response|0,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,local_arithmetic_tool,call_model|model_response|1,10,0.0032273119937252016,0.0034353663875868303,0.012499999999999999,0.005837322618687968,0.012500001,0
full-tools-persistent-memory,local_arithmetic_tool,load_memory|memory_read|0,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,local_arithmetic_tool,load_memory|memory_read|1,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,local_arithmetic_tool,tool::calculate|tool_call|0,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,local_time_tool,call_model|model_request|0,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,local_time_tool,call_model|model_request|1,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,local_time_tool,call_model|model_response|0,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,local_time_tool,call_model|model_response|1,10,0.0031154263549368635,0.0010452080821398296,0.004435183116218155,0.0002745496791414624,0.004435184116218156,0
full-tools-persistent-memory,local_time_tool,load_memory|memory_read|0,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,local_time_tool,load_memory|memory_read|1,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,local_time_tool,tool::get_current_datetime|tool_call|0,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,multi_step_memory_tool,call_model|model_request|0,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,multi_step_memory_tool,call_model|model_request|1,10,0.0027306392743046974,0.0018212280079244435,0.003968645461957225,1e-09,0.004551868282229141,0
full-tools-persistent-memory,multi_step_memory_tool,call_model|model_request|2,10,0.003366193829294392,0.0014026154530713622,0.004865819258954293,9.701097658853932e-05,0.004865820258954293,0
full-tools-persistent-memory,multi_step_memory_tool,call_model|model_request|3,10,0.0037459674944334844,0.0013743876201572868,0.005210944459200103,9.05903446093316e-05,0.005210945459200102,0
full-tools-persistent-memory,multi_step_memory_tool,call_model|model_response|0,10,0.01092255709721879,0.007284912031697774,0.0158745818478289,1e-09,0.01820747012891656,0
full-tools-persistent-memory,multi_step_memory_tool,call_model|model_response|1,10,0.011194874729203675,0.00680362446148279,0.017462102676151867,1e-09,0.017998500190686464,0
full-tools-persistent-memory,multi_step_memory_tool,call_model|model_response|2,10,0.012237295378709608,0.005124043934414445,0.01704159514213395,1e-09,0.01736134031312405,0
full-tools-persistent-memory,multi_step_memory_tool,call_model|model_response|3,10,0.004532364502528872,0.004238669867065678,0.012499999999999999,0.003728966630405449,0.012500000999999998,0
full-tools-persistent-memory,multi_step_memory_tool,load_memory|memory_read|0,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,multi_step_memory_tool,load_memory|memory_read|1,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,multi_step_memory_tool,load_memory|memory_read|2,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,multi_step_memory_tool,load_memory|memory_read|3,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,multi_step_memory_tool,tool::calculate|tool_call|0,10,0.0,0.0,0.0,1e-09,1e-09,0
full-tools-persistent-memory,multi_step_memory_tool,tool::remember|memory_write|0,10,0.0009715811066204422,0.0008221109946780958,0.0028284690408556246,0.0010347779395570866,0.002828470040855625,0
full-tools-persistent-memory,multi_step_memory_tool,tool::remember|tool_call|0,10,0.0004857905533102211,0.0004110554973390479,0.0014142345204278123,0.0005173894697785434,0.0014142355204278124,0
full-tools-persistent-memory,multi_step_memory_tool,tool::search_memory|memory_read|0,10,0.0008513271221209029,0.0006913845214941618,0.002350407771872581,0.0008076971282575163,0.002350408771872581,0
full-tools-persistent-memory,multi_step_memory_tool,tool::search_memory|tool_call|0,10,0.00042566356106045147,0.0003456922607470809,0.0011752038859362906,0.00040384906412875815,0.0011752048859362905,0
local-core-no-memory,local_arithmetic_tool,call_model|model_request|0,15,0.0,0.0,0.0,1e-09,1e-09,0
local-core-no-memory,local_arithmetic_tool,call_model|model_request|1,15,0.0,0.0,0.0,1e-09,1e-09,0
local-core-no-memory,local_arithmetic_tool,call_model|model_response|0,15,0.0,0.0,0.0,1e-09,1e-09,0
local-core-no-memory,local_arithmetic_tool,call_model|model_response|1,15,0.0009540946441328497,0.0007910722663893409,0.0024820210323837247,0.0007368551218615341,0.0024820220323837246,0
local-core-no-memory,local_arithmetic_tool,load_memory|memory_read|0,15,0.0,0.0,0.0,1e-09,1e-09,0
local-core-no-memory,local_arithmetic_tool,load_memory|memory_read|1,15,0.0,0.0,0.0,1e-09,1e-09,0
local-core-no-memory,local_arithmetic_tool,tool::calculate|tool_call|0,15,0.0,0.0,0.0,1e-09,1e-09,0
local-core-no-memory,local_time_tool,call_model|model_request|0,15,0.0,0.0,0.0,1e-09,1e-09,0
local-core-no-memory,local_time_tool,call_model|model_request|1,15,0.0,0.0,0.0,1e-09,1e-09,0
local-core-no-memory,local_time_tool,call_model|model_response|0,15,0.0,0.0,0.0,1e-09,1e-09,0
local-core-no-memory,local_time_tool,call_model|model_response|1,15,0.0021934211161562054,0.0010059416441274885,0.004174518365602794,0.0009751566053191001,0.004174519365602794,0
local-core-no-memory,local_time_tool,load_memory|memory_read|0,15,0.0,0.0,0.0,1e-09,1e-09,0
local-core-no-memory,local_time_tool,load_memory|memory_read|1,15,0.0,0.0,0.0,1e-09,1e-09,0
local-core-no-memory,local_time_tool,tool::get_current_datetime|tool_call|0,15,0.0,0.0,0.0,1e-09,1e-09,0
